G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Bayesian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),sample,region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set
-6.4482188397339595,149.0000000002637,-18.937192564095493,757.9999999730409,-126.24476270211477,6078.963738394209,-566.8323158851067,0.035516724289418974,-0.0002196584618504468,-152.68015189868453,EE88311,skeletal_muscle_cluster1518_hg38,no,-0.83,"(-288.9609746227431, 180.84507132172865)",n.s.,0.61,"(-0.07203989172404598, 0.09238919948095962)",n.s.
11.740631002699448,149.9999999999997,-11.153555135375745,757.9999999774767,-139.901796541398,6078.036533149369,-744.9215854824101,-0.016172651482251818,0.0035989469003486893,-137.42546552715058,EE88311,hepatocyte_all_hg38,no,-2.05,"(-131.89710413022425, 151.44781350163484)",Significantly stronger coverage drop,0.29,"(-0.06591934692441812, 0.020705109367181347)",n.s.
27.78181859502159,149.0000000000021,2.6916404338908517,757.9999999891414,-277.6885356047705,6078.000747060737,-655.9682064693937,-0.0575748163601377,0.006566179681183483,-242.5165550073545,EE88311,panc_epithel_cluster1974_hg38,no,-2.45,"(-200.2123032501991, 144.67266493885407)",Significantly stronger coverage drop,-0.33,"(-0.09904946836923603, 0.0007154169435081709)",n.s.
18.53955386951063,149.0000000002211,-45.67361603295323,757.0000000000133,202.31859270526797,6078.5212634038135,-508.6917259247945,-0.038847280828034805,-0.0019722298534103648,177.45649623299332,EE88311,SAEC_hg38,no,-0.3,"(-129.24715049268673, 594.0845756974345)",n.s.,-0.14,"(-0.13486348604650814, 0.07168146623875854)",n.s.
5.549788644277205,149.99999999999613,37.361877343983465,757.0000000080504,89.71681984781597,6078.0426117082425,-529.4464697227456,-0.04033888589018375,-0.005831310524568996,133.7445096175739,EE88311,mammary_epithel_cluster2438_hg38,no,-0.1,"(-147.4401575635661, 444.2855409094401)",n.s.,0.13,"(-0.1551046038768317, 0.060045326809148626)",n.s.
23.794879144928107,149.99999999937597,-133.37706485084897,757.9999998709634,-785.1489571626926,6078.980229230221,-524.6704728883523,0.05843892940034085,0.022439982429191502,-891.371409660939,EE88311,hematopoietic_all_hg38,no,1.21,"(-1762.1647206147018, -683.1746616706939)",n.s.,-2.38,"(0.0833171034483827, 0.32146001505947525)",Significantly weaker coverage drop
8.896449934265828,149.00000000343726,14.179345082584113,757.0000031555483,29.736507220097298,6078.003635731782,-668.0021389659782,-0.03324432781874601,-0.0016475062047721922,54.310009573802034,EE88311,HPF_lung_fibroblast_cluster1737_hg38,no,0.98,"(-180.15764378937976, 133.1408038638332)",n.s.,-0.16,"(-0.07960968375498778, 0.02114239769897886)",n.s.
17.60159323512557,149.00000000024392,-41.020003599235814,757.0000000430248,144.9118982446072,6078.922484550089,-558.9781960128781,-0.03502008439521945,-0.002961643024031677,123.7237633469287,EE88311,prostate_cluster2483_hg38,no,0.31,"(-250.56857586467265, 395.55803759116014)",n.s.,-0.19,"(-0.123612282510788, 0.07196721937166428)",n.s.
11.446883224390767,149.00003791546553,-95.29955118528886,757.9999793218327,-99.613911302502,6078.000963990229,-518.2662013547891,0.02604676743604264,-0.0032482558864342045,-182.43446891091372,EE88311,A549_hg38,no,-1.55,"(-255.040069906391, 428.5674280284202)",n.s.,0.23,"(-0.10053282245571228, 0.12586205409550769)",n.s.
22.345028720357398,149.99999999998514,-53.0352235573345,757.9999999455983,73.6453467381969,6078.944767439085,-721.7240120041208,-0.036349375875264094,-0.001755833775158641,45.884999257911,EE88311,HeLa_cluster1777_hg38,no,-0.06,"(-93.80412643044176, 194.98261619365513)",n.s.,0.14,"(-0.08070902952822549, 0.0023044742962305895)",n.s.
